1,38.10,23.50,4.28,0.00,0.00,16,20190128145935
1,37.90,23.40,4.31,0.00,0.00,16,20190128145952
1,37.60,24.30,4.29,0.00,0.00,16,20190128150023
1,31.60,26.00,4.30,0.00,0.00,16,20190128150736
1,28.40,30.20,4.24,0.00,0.00,16,20190128151322
1,0.00,0.00,4.99,0.00,0.00,17,20190128151906
1,0.00,0.00,4.99,0.00,0.00,17,20190128152448
1,23.90,45.10,0.00,0.00,0.00,16,20190128152727
1,23.80,44.70,0.00,0.00,0.00,16,20190128152927
1,0.00,0.00,4.99,0.00,0.00,17,20190128153030
1,23.80,45.60,0.00,0.00,0.00,16,20190128153545
1,0.00,0.00,4.99,0.00,0.00,17,20190128153613
1,0.00,0.00,4.99,0.00,0.00,17,20190128154156
1,0.00,0.00,4.99,0.00,0.00,17,20190128154738
